scenario,intervention,level,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,26.555,451.6180478235515,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.405,13.831361071421874,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
mentors_base,MENTORS,base,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,9.46,19.18845173173255,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
mentors_base,MENTORS,base,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,20.2,75.40145619198593,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
mentors_current,MENTORS,current,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.02088641055951726,0.09786595299528388,0.01229183416620945,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03798094293958271,26.185,445.23358257134953,159.55,27.141259665973617,0.5799364646983599,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,L2/3,1,17398.665,0.1750439152480985,0.12685267155555902,0.013897726200815365,0.06344830382110078,0.005848937287899142,0.030508965905876463,0.010844207215928468,0.0009669774654994404,0.002984867304733191,2.645,15.20724828138898,92.86,5.337258926395943,0.6047306719442644,0.0,0.38334160942293777,0.0500363848077161,0.0
mentors_current,MENTORS,current,L4,2,49491.75,0.4979249667994688,0.8021461740877354,0.021507057333140078,0.06210036550126302,0.007223639529848707,0.05027543469762616,0.020299151797077655,0.0016588484977287199,0.021781807297033905,7.385,14.965638007111247,298.73,6.037458574768943,0.6036646117489596,0.6040001535163089,0.6062462245819564,0.6080594022965485,0.0
mentors_current,MENTORS,current,L5,3,26626.985,0.2678878928729526,0.7307993820817755,0.031835851860076134,0.08883061696706479,0.0107236306971884,0.07446868725130579,0.02983169071785285,0.002529583334044151,0.07270843986450458,14.45,54.032789951724034,261.27,9.799905821291993,0.6001553214018405,0.6022059854388813,0.6127683613988336,0.6095179586630728,0.0
mentors_moderate,MENTORS,moderate,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.02075789173326383,0.09714822037804749,0.012251076327671882,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03794783535833369,26.7,453.91249420972986,159.875,27.19689991525565,0.7465328614637806,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,L2/3,1,17400.54,0.17506277918628516,0.12705631905196924,0.013722488174530055,0.06205622347544341,0.005505646080046077,0.030139980057406618,0.010750585104742371,0.0009582385543146112,0.00295494407761052,2.62,15.066556210180227,91.355,5.250378892319764,0.7681432100012983,0.0,0.47744378165695267,0.06289247179656136,0.0
mentors_moderate,MENTORS,moderate,L4,2,49510.72,0.4981158195500825,0.8021956240765974,0.018295296860357548,0.049120054301751724,0.006391382487710357,0.04897642486538052,0.020311588042277187,0.0016632486746815502,0.019925790100768573,6.54,13.249050763447475,295.47,5.9695994776705845,0.7624415434652385,0.7671899559173394,0.7590004167200365,0.7680597130791992,0.0
mentors_moderate,MENTORS,moderate,L5,3,26606.14,0.2676781761841523,0.7305667942343612,0.02718214054992679,0.07110456636557427,0.009557203065334374,0.0729451602850547,0.029878179227597994,0.0025277712290103483,0.06675528211356466,13.135,49.14521857231609,257.985,9.684442840429147,0.7591548399433233,0.7632638249619519,0.7779103453588023,0.7670719203150966,0.0
mentors_high,MENTORS,high,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.020589365560794253,0.09640827417475738,0.01214727726769584,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.037827498966527776,26.185,445.1371732301158,159.38,27.116540332156948,0.9352028593556632,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,L2/3,1,17401.86,0.17507605939876858,0.12728393815487224,0.013509055498710638,0.06050501591252905,0.005154139080421294,0.02968201207050078,0.010669662936921351,0.000949842140117485,0.002916798526042323,2.515,14.463610653204944,90.41,5.195791574257712,0.9394746716890902,0.0,0.5743892296095584,0.07780736811181332,0.0
mentors_high,MENTORS,high,L4,2,49529.565,0.49830541470481715,0.8022417631636359,0.015145189354118576,0.03628404867545093,0.005557275900528475,0.04775325336455325,0.020324816273006543,0.0016637155721472572,0.01808718738784297,5.695,11.524412282996073,291.86,5.894293286060573,0.9306465873028933,0.9301152006026371,0.9290863680983328,0.9343698702616932,0.0
mentors_high,MENTORS,high,L5,3,26585.975,0.2674753008169343,0.7303114434520788,0.022671003569209373,0.052866546377631274,0.008407450999425142,0.07143830294524788,0.029914272643908717,0.002533054516450851,0.06067254410006903,11.8,44.18255586404828,253.635,9.527994118679123,0.9284603535073692,0.931043392516659,0.9324492723429851,0.9286569170063408,0.0
prompts_base,PROMPTS,base,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,26.555,451.6180478235515,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.405,13.831361071421874,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
prompts_base,PROMPTS,base,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,9.46,19.18845173173255,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
prompts_base,PROMPTS,base,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,20.2,75.40145619198593,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
prompts_current,PROMPTS,current,Home,0,5839.42,0.058749044227131876,0.18228980332688688,0.02111825613938848,0.0988211587795262,0.012406263979250057,0.06559118019195759,0.021610715858293078,0.0016175032461821506,0.037904601285785156,25.455,435.72837494919264,157.81,27.028873896876636,0.2624695239068269,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,L2/3,1,17427.645,0.17533547627671134,0.1256229232081019,0.014846821312542564,0.06782952029021617,0.0063182042547446585,0.0322665517521278,0.011495154352853818,0.0010075743819268645,0.0029148667206755218,2.635,15.130762213325488,93.585,5.369777088593563,0.26065303545602536,0.0,0.3696085062810623,0.047297788070489434,0.0
prompts_current,PROMPTS,current,L4,2,49486.58,0.4978729526339088,0.8042887283648272,0.03326696474808874,0.0993690331353484,0.008596125857486318,0.05291308995381517,0.020216109753807044,0.0016585354732403896,0.027150747994829416,9.055,18.339732590195116,302.395,6.112152240093562,0.27073297927624185,0.0,0.36279713713150896,0.17756285534713825,0.0
prompts_current,PROMPTS,current,L5,3,26642.355,0.268042526862248,0.7345390792162567,0.04921601656578778,0.13959172699023484,0.012868410188090186,0.07713415796740514,0.029585271183892415,0.002508102325559436,0.09032184578183976,20.16,75.33772220260383,264.39,9.912418076431528,0.26067434448700644,0.0,0.3704500910620954,0.17820282512283384,0.0
prompts_moderate,PROMPTS,moderate,Home,0,5188.585,0.05220114491528834,0.21451500768900544,0.020312354998050668,0.09840463653205272,0.01227452921336504,0.06380025496299108,0.021078016839195204,0.0015205052953742248,0.036247174365600106,22.345,430.68208566043046,134.375,25.897978774197668,0.2652131722690536,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,L2/3,1,18067.415,0.18177205320133605,0.13935392991957532,0.019879720491463665,0.09168923353250451,0.008573131102381566,0.044201290989396694,0.01636861533271037,0.0013563763141465387,0.008065968798070831,4.06,22.48092254673104,163.58,9.053887725079061,0.2529520074920098,0.0,0.3521145602435301,0.05042866628694359,0.0
prompts_moderate,PROMPTS,moderate,L4,2,50918.71,0.5122812789247052,0.8591143071917935,0.03416403406953517,0.09909716854934494,0.008814661536512818,0.05645600448411694,0.02121073300522536,0.0017070912774900396,0.03854380848120095,11.295,22.17202962014663,242.405,4.760920569652682,0.2695679692652033,0.0,0.37178006567463984,0.17700626749362086,0.0
prompts_moderate,PROMPTS,moderate,L5,3,25221.29,0.25374552295867037,0.8191913680027614,0.04298282033631213,0.11972360165348915,0.010441409220156883,0.06567740517812566,0.02483340478981887,0.002124291035661014,0.06693186525447753,12.28,48.668398690553595,151.445,6.001852516283144,0.26514861062486866,0.0,0.3669550988977269,0.1771605957933781,0.0
prompts_high,PROMPTS,high,Home,0,3422.25,0.03443045997826874,0.3839050669705394,0.01877361347809478,0.0934359693628908,0.011730059485287471,0.06230628496345198,0.020563619902156372,0.0015703269486938344,0.03145204585727429,13.505,394.8094065413428,83.6,24.4226260991809,0.26056083758310405,0.0,0.0,0.0,0.0
prompts_high,PROMPTS,high,L2/3,1,19797.75,0.19918055052517203,0.48479393824703515,0.022352918181825273,0.09420917960352172,0.009447687222080062,0.06445073052931038,0.019996064619739632,0.0016736547559428527,0.03609638643848494,9.82,49.61267261366317,176.325,8.905858647538924,0.26218654289536203,0.0,0.372384849996527,0.05095560973949371,0.0
prompts_high,PROMPTS,high,L4,2,52161.045,0.5247801219364965,0.9506571208551474,0.03023209815510384,0.08997610605928814,0.008705331360272291,0.05934021272315855,0.021454494404465674,0.0017176728741518318,0.038947305779405944,8.01,15.356322995817893,231.74,4.44231085570846,0.2689019246568129,0.0,0.3755538610909062,0.17665270027929617,0.0
prompts_high,PROMPTS,high,L5,3,24014.955,0.24160886756006278,0.9491199634339692,0.030819802320622605,0.08988435812483496,0.008189997894098432,0.06065335562236356,0.021492853748949714,0.0017714628226179734,0.03883154931790297,3.75,15.610371899365383,99.675,4.150580562914744,0.2649539919520249,0.0,0.374878962130063,0.17818187509280872,0.0
prompts_high_shift,PROMPTS,high_shift,Home,0,2879.42,0.02896917380981126,0.4818749478700447,0.01916544565243853,0.09140855572063908,0.01132786164048023,0.060889949255465446,0.015978749572300378,0.0011613421122219471,0.02750018246364924,9.725,336.8456753260109,59.815,20.765465726430854,0.26210958160891784,0.0,0.0,0.0,0.0
prompts_high_shift,PROMPTS,high_shift,L2/3,1,11250.155,0.1131851885387742,0.43657101395977443,0.017243984099563677,0.07953537756497676,0.008091990737894362,0.05576067461918828,0.017499192912463917,0.0011717213737995793,0.027566254104644892,3.57,31.744576846294393,90.455,8.039221463048381,0.2624607679368248,0.0,0.36730009225005816,0.05255335424463899,0.0
prompts_high_shift,PROMPTS,high_shift,L4,2,57839.08,0.5819055092760272,0.9608793341751817,0.03152042791140833,0.09226783335359355,0.008441605969316571,0.056989906365353636,0.021249697296614696,0.0017539131966792037,0.03502961210209003,12.02,20.793544369169677,285.665,4.938889188659759,0.2692656352177756,0.0,0.36461227938412505,0.17616580027206402,0.0
prompts_high_shift,PROMPTS,high_shift,L5,3,27427.345,0.27594012837538734,0.9523066010095798,0.03510413267962706,0.10074552324863874,0.0094786038049149,0.063938887576029,0.024328182529581074,0.001635764433563399,0.05167604663087724,9.125,33.239833077674305,144.77,5.277250580378458,0.2641978631773955,0.0,0.3554392853993919,0.17710965439333506,0.0
blood_base,Blood,base,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,26.555,451.6180478235515,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
blood_base,Blood,base,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.405,13.831361071421874,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
blood_base,Blood,base,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,9.46,19.18845173173255,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
blood_base,Blood,base,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,20.2,75.40145619198593,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
blood_current,Blood,current,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,24.495,416.57431346414086,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
blood_current,Blood,current,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.325,13.370894594591057,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
blood_current,Blood,current,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,8.18,16.590996864787854,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
blood_current,Blood,current,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,17.505,65.35135536027687,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
blood_moderate,Blood,moderate,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,22.14,376.5305303934299,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
blood_moderate,Blood,moderate,L2/3,1,17397.28,0.17502998108575799,0.12647263715530793,0.014099286819304462,0.06434988894417983,0.005978692420484627,0.03063962468233075,0.010883813740333939,0.0009733860091849753,0.0029969000020504755,2.22,12.766720996626521,91.715,5.271939230730348,0.26268121133546457,0.0,0.37109609617393585,0.04727016140488931,0.0
blood_moderate,Blood,moderate,L4,2,49445.8,0.49746267455430804,0.802062904296744,0.03340967861777029,0.0999858289541681,0.008668221574362627,0.05313538823491955,0.020300976674424417,0.0016581726233843434,0.027065121501371876,6.98,14.156807797313883,303.435,6.138442955423167,0.27067073206781095,0.0,0.36228679528966024,0.17748222136524125,0.0
blood_moderate,Blood,moderate,L5,3,26674.32,0.26836411928045395,0.7312920224122863,0.049508619233390644,0.14065977049186668,0.01297243034763628,0.07766177963804648,0.029784869795470063,0.0025250877493095715,0.09030006698294095,14.57,54.4016213164252,264.6,9.90668239416247,0.2608687391018199,0.0,0.3706512703020717,0.17824995348082656,0.0
blood_high,Blood,high,Home,0,5878.6,0.059143225079480055,0.1831902951843033,0.021129105655245336,0.09905194499526586,0.012400023377750488,0.06592024248823516,0.021698218407775912,0.001636442006168701,0.03814263238014324,18.29,311.02190081318156,160.115,27.237992939464483,0.2612436538630686,0.0,0.0,0.0,0.0
