scenario,intervention,level,comparison_baseline,location,location_code,births,delivery_share,anc,pph,maternal_sepsis,eclampsia,obstructed_labor,aph,uterine_rupture,severe_complication,maternal_deaths,maternal_deaths_per_100k,neonatal_deaths,neonatal_deaths_per_1000,iv_iron_given_anemia_anc,pph_bundle_given_pph,mgso4_given_eclampsia,antibiotics_given_sepsis,oxytocin_given_ol
mentors_base,MENTORS,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_base,MENTORS,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,Home,0,0.0,0.0,0.0,-0.0026441873770746624,-0.006680166343905822,-0.0005457097021734428,0.0,0.0,0.0,-0.0012938799430273207,-1.1499999999999986,-18.347305769513127,-1.3500000000000085,-0.21299668249334047,0.36955679566701266,0.0,0.0,0.0,0.0
mentors_current,MENTORS,current,overall_no_flags,L2/3,1,1.514999999999418,2.2172462240954705e-05,0.0009610800603914726,-0.0015702096976475469,-0.003966733829485133,-0.0002656663466205139,-0.00016505402563378457,-8.528172177822528e-05,-1.7946721632957404e-05,-3.4814302299466474e-05,-0.23500000000000032,-1.8710203674599555,-0.21999999999999886,-0.017971390953360977,0.3739468713826302,0.0,0.01563836442631472,0.00727075420299958,0.0
mentors_current,MENTORS,current,overall_no_flags,L4,2,52.71499999999651,0.0007714992389649122,-4.641158594220762e-06,-0.03272600755202701,-0.033358839134024515,-0.0007781052005998972,-0.0023118912997183785,1.5520072855615408e-05,3.7505375336767052e-06,-0.006882066134182751,-2.594999999999999,-7.194473513826232,-4.219999999999999,-0.12201212932226291,0.36837658658757555,0.6478826112654066,0.06387287968050015,0.28785602641557123,0.0
mentors_current,MENTORS,current,overall_no_flags,L5,3,-54.22999999999956,-0.0007936717012059225,-0.001465376426404319,-0.05605630001250822,-0.0525546219134226,-0.0012327516369291282,-0.002513994520515178,8.797594456920119e-05,1.6107609072051922e-05,-0.029151605557685825,-6.655000000000001,-49.660627512410315,-2.5600000000000023,-0.1587677149259754,0.3632743401224305,0.6583391466493863,0.06583826817700689,0.2931981251874105,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,Home,0,0.0,0.0,0.0,-0.0034867605692063333,-0.008926876169461195,-0.0006770138775389709,0.0,0.0,0.0,-0.0016016817917329784,-1.5399999999999991,-24.649772026082076,-0.9300000000000068,-0.14654330820890138,0.4884930967110587,0.0,0.0,0.0,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L2/3,1,2.929999999998472,4.2881395621113816e-05,0.0014039606508458036,-0.0021318100421634234,-0.00754023378787716,-0.0006014211807281681,-0.00036343889028896126,-0.00013693590899328117,-2.4273843018386438e-05,-7.923223145433946e-05,-0.16500000000000004,-1.3071209583854184,-0.6550000000000011,-0.052921123164667794,0.49923514756141635,0.0,0.0747852619106536,0.038862413562445824,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L4,2,69.92499999999563,0.0010233725559067874,-2.5953261895028668e-05,-0.03914398124002065,-0.04631165302404661,-0.0014012267001131326,-0.0029203444391298836,2.1674444113793656e-05,3.2600481023551536e-06,-0.008923221027337044,-3.5999999999999996,-9.987551169824666,-8.564999999999998,-0.2431355693931696,0.4939450626118914,0.7821545150558936,0.19237589462039628,0.41523297861097136,0.0
mentors_moderate,MENTORS,moderate,overall_no_flags,L5,3,-72.85499999999956,-0.001066253951527929,-0.001990700228173048,-0.0671680437666999,-0.07409442468396574,-0.002415016777843086,-0.0032985801146440397,0.0001380448104333805,2.6843550609110742e-05,-0.03841855568979921,-7.800000000000001,-58.178956496453964,-6.805000000000007,-0.47022848106446347,0.4942901877436386,0.7825716882825007,0.2058500881293116,0.4226970040748388,0.0
mentors_high,MENTORS,high,overall_no_flags,Home,0,0.0,0.0,0.0,-0.004844636267781165,-0.012220713576384323,-0.0008883891053253056,0.0,0.0,0.0,-0.0021728117535364452,-1.3300000000000018,-21.330438479057932,-0.18000000000000682,-0.028667568372078733,0.6394191805079421,0.0,0.0,0.0,0.0
mentors_high,MENTORS,high,overall_no_flags,L2/3,1,3.529999999998836,5.166256878585962e-05,0.0017154945128827204,-0.002737445074540233,-0.011576995771640355,-0.0009699565903684773,-0.0005618567899225956,-0.00019203205493663507,-3.160523657792314e-05,-0.00010908600364232775,-0.05500000000000016,-0.44290449514507557,-1.2899999999999991,-0.10411668484134395,0.6358140255011995,0.0,0.13598650700757703,0.07675229922930105,0.0
mentors_high,MENTORS,high,overall_no_flags,L4,2,89.74499999999534,0.0013134439761151029,-1.1230197344502812e-05,-0.04626281508497946,-0.06011896304148598,-0.0020943273402635855,-0.0036218130376027002,3.265613068443099e-05,2.887159293534121e-06,-0.01120323594195833,-4.629999999999999,-12.842791732713206,-16.644999999999982,-0.46693706248754285,0.6415932889847902,0.9344860369384744,0.34649048775422975,0.5660342382314729,0.0
mentors_high,MENTORS,high,overall_no_flags,L5,3,-93.27499999999964,-0.0013651065449010458,-0.0025429863711408096,-0.07987308597283009,-0.09750316200459906,-0.0037084284771670313,-0.00424151975097338,0.00017970254737619679,3.8572109881040637e-05,-0.04860101403874101,-9.795000000000002,-73.13126069981837,-11.290000000000006,-0.8004291327825346,0.6561594347221047,0.9328864929186138,0.34648192407819567,0.5702767292741617,0.0
prompts_base,PROMPTS,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_base,PROMPTS,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,Home,0,-52.460000000000036,-0.0007677672403699903,-0.0004852481010036991,-0.0005849424303668721,8.337143646054701e-05,-0.0001222046895674924,-0.0005498538189204066,2.705754398064572e-05,-4.10193087489524e-05,-0.0005483914082618918,-0.995000000000001,-11.684243507276221,-2.4650000000000034,-0.2369225997707325,-0.0010751460178083927,0.0,0.0,0.0,0.0
prompts_current,PROMPTS,current,overall_no_flags,L2/3,1,48.81499999999869,0.0007144216133942172,-0.0010454524428508138,0.0018647354699192972,0.003537848361978818,0.00018043736637044297,0.0008414893278701277,0.0005118898371376333,0.00017095433045061312,-5.519991900547038e-05,-0.10499999999999998,-0.9134304964629365,1.759999999999998,0.12581729977429834,-0.0014914546656787375,0.0,-0.005408872753032701,-0.00031986521183566263,0.0
prompts_current,PROMPTS,current,overall_no_flags,L4,2,53.25999999999476,0.0007794754712562302,0.0023177219944953142,-0.0004399308988226047,-0.0005659269916107046,2.085112868011746e-05,3.023284444781532e-05,-0.00011141524363153868,-3.591016741161593e-05,2.5108033918502803e-06,0.13000000000000078,0.293433717464211,-2.069999999999993,-0.06302889356890962,0.00026259524175481497,0.0,0.005118432808024043,0.0006395832306384519,0.0
prompts_current,PROMPTS,current,overall_no_flags,L5,3,-49.61499999999978,-0.0007261298442804986,0.004301096655730086,-0.0006653862191207116,-0.001273315114909579,-0.00021357917181491666,-0.0003790460055224515,-0.00023664648888635162,4.6604584142841306e-05,0.00024337594247719752,-0.39000000000000057,-2.2597727550138416,-1.0050000000000097,-0.04503085610517488,0.00023916460718637067,0.0,0.002204574030409745,0.001433430395425317,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,Home,0,-335.6800000000003,-0.004912773679896981,0.06654915857554378,-0.003520966399601533,-0.004611915167791303,-0.000804247370339765,-0.0020662760162026353,-0.00010921821202367066,0.0001443680492549575,-0.004156319120470681,-5.335000000000001,-60.724898652265665,-18.805000000000007,-2.0867135905256653,-0.0026500644082725344,0.0,0.0,0.0,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L2/3,1,325.59499999999935,0.004765176794286369,0.04949648156820735,0.004428537766631276,0.011094872234483383,0.0008223334647243013,0.0027954566124641644,0.0017783023813241119,0.000260439094361512,0.0008970601180010329,0.3049999999999997,1.7077709357284512,54.725,4.1536886807768525,-0.010270065825132846,0.0,0.030526457285105002,0.0018038221056094483,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L4,2,1495.8050000000003,0.021891537876126854,0.052692572950085115,0.00017593349554974325,-3.300788263306542e-05,0.00042339360990260345,0.003418505248091279,0.0010392207293541504,0.0002999372388249929,0.009779529238077438,3.0700000000000003,6.56730284849516,-28.544999999999987,-0.9268262705635557,-0.0007888211871691087,0.0,-0.0018970645602115477,0.0027106652771950457,0.0
prompts_moderate,PROMPTS,moderate,overall_no_flags,L5,3,-1485.7199999999993,-0.021743940990516297,0.12003590414608567,-0.011575818002911964,-0.017660807639905546,-0.0015962121379700708,-0.007261094768861769,-0.003210801685360684,-0.0002486553118719115,-0.021333253559729676,-6.995000000000001,-33.75385228297225,-51.775000000000006,-3.3495879725632456,0.002583524966757511,0.0,0.008190804828345555,0.004564984453061582,0.0
prompts_high,PROMPTS,high,overall_no_flags,Home,0,-870.5900000000001,-0.012741335909144141,0.285689666900504,-0.006921285504295889,-0.013110020305677705,-0.003069005527943246,-0.003484193463959062,-0.004315615685496474,-0.000555179243037403,-0.012748566469328742,-15.309999999999999,-201.20014518985676,-57.435,-7.550930237139648,-0.001970834260826393,0.0,0.0,0.0,0.0
prompts_high,PROMPTS,high,overall_no_flags,L2/3,1,824.5049999999992,0.012066868633649447,0.580516761829968,0.0037108206890917594,0.0034238758926958823,0.0004039568673816019,0.01527621873043868,0.003520947604653773,0.0006761707280532945,0.031214959491269723,13.264999999999999,97.34500754142547,47.49,3.3300270437442214,-0.019675304666984028,0.0,0.006315260122386979,0.004265332705063962,0.0
prompts_high,PROMPTS,high,overall_no_flags,L4,2,3390.665000000001,0.049623360847675824,0.11691353828415363,-0.008372172957664611,-0.00714733876614472,0.000999653046253388,0.007634430936156143,0.0026887025050398583,0.0005313202556243611,0.01599773450506473,1.1799999999999997,-0.26364127188449515,-39.19,-1.3571873666643741,-0.002670772173454905,0.0,-0.0028544785702506736,-0.000455856956581735,0.0
prompts_high,PROMPTS,high,overall_no_flags,L5,3,-3344.58,-0.04894889357218124,0.2679662459672708,-0.07148649683896971,-0.07786110723431094,-0.004927421428023581,-0.018323581413986136,-0.008723191780448565,-0.001614391518859057,-0.0895455585049143,-21.925,-155.28148540416382,-84.0,-5.676559596643681,0.011602817859396097,0.0,0.003157126900269591,0.009070356629981347,0.0
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,Home,0,-822.0950000000003,-0.012031597588104445,0.24955455193349751,-0.0079828884558538,-0.010686728490999914,-0.0028557536815719846,-0.005180606699965069,-0.0035424706345534226,-0.0010321328487626806,-0.013589411404244498,-15.600000000000001,-208.7307705507971,-49.36,-6.1729677907095795,-0.0013847017633856207,0.0,0.0,0.0,0.0
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,L2/3,1,-4197.75,-0.0614352827537759,0.47015817080514516,-0.020115411879066056,-0.03100788515167585,-0.0015731803096463368,0.005003133264514424,-0.0012208469329527752,-0.00045938921616651973,0.014472728870412434,0.8799999999999994,23.894729033611558,-5.564999999999998,1.0788811251249846,-0.009447587633496679,0.0,0.04401769817971518,0.002470124760840492,0.0
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,L4,2,6115.529999999999,0.08950254654021783,0.10441101918978102,-0.003231693602574151,-0.0034333307776196476,0.00031634450940574727,0.004267300556832117,0.00182550172537713,0.0002187618984755106,0.007911966382280127,2.575000000000001,0.727204675061202,-14.495000000000005,-0.9663365395701109,-0.0019187441740339817,0.0,0.013641183869308349,-0.0014498932893579064,0.0
prompts_high_shift,PROMPTS,high_shift,overall_no_flags,L5,3,-1095.6849999999995,-0.016035666198337406,0.23095720856656987,-0.03432265010901352,-0.037186239408163735,-0.0035208217254474733,-0.006057235456382815,-0.00398819818134542,-0.00040035289980736976,-0.045588460118218294,-13.795000000000002,-95.56546711698627,-55.61000000000001,-3.8318136075107736,0.0008071671450625151,0.0,-0.002833325831368083,0.0006988503639018817,0.0
blood_base,Blood,base,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_base,Blood,base,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_base,Blood,base,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_base,Blood,base,overall_no_flags,L5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,Home,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9299999999999997,-46.8062675494113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,L2/3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20500000000000007,-1.6317051592972511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blood_current,Blood,current,overall_no_flags,L4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7199999999999989,-4.743623708216148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
